,Date,Open,High,Low,Close,Volume
159,05/15/2020,218.77,223.33,218.33,223.27,"55,747,207"
160,05/14/2020,218.12,221.87,215.99,221.83,"51,549,352"
161,05/13/2020,222.65,224.61,216.71,219.34,"65,521,207"
162,05/12/2020,227.48,228.1,222.09,222.12,"41,054,121"
163,05/11/2020,223.5,227.93,223.25,226.87,"35,714,129"
164,05/08/2020,223.55,225.0,222.48,224.86,"31,964,420"
165,05/07/2020,221.75,222.73,220.42,221.82,"38,624,840"
166,05/06/2020,219.37,221.04,218.11,219.0,"36,455,219"
167,05/05/2020,217.4,220.14,216.85,217.66,"37,783,078"
168,05/04/2020,211.61,215.45,211.12,215.22,"32,841,020"
169,05/01/2020,214.54,216.67,211.68,212.74,"48,794,969"
170,04/30/2020,220.01,220.04,217.35,218.91,"43,359,480"
171,04/29/2020,216.21,219.97,215.14,219.0,"48,716,406"
172,04/28/2020,217.27,217.32,211.21,211.5,"46,862,820"
173,04/27/2020,216.18,216.63,214.5,215.56,"36,451,699"
174,04/24/2020,210.94,214.3,209.5,213.84,"34,303,367"
175,04/23/2020,211.8,214.44,210.1,210.52,"43,278,539"
176,04/22/2020,209.14,212.35,208.33,210.97,"40,188,770"
177,04/21/2020,210.63,211.16,203.63,204.89,"72,932,766"
178,04/20/2020,213.27,215.88,212.57,212.74,"38,249,129"
179,04/17/2020,215.96,216.51,212.08,215.29,"62,863,219"
180,04/16/2020,211.78,214.37,209.69,213.25,"64,657,359"
181,04/15/2020,208.48,211.83,207.12,209.43,"47,035,953"
182,04/14/2020,207.17,212.5,206.42,211.86,"63,959,559"
183,04/13/2020,199.92,203.42,198.75,203.03,"42,853,953"
184,04/09/2020,202.27,203.22,199.03,200.86,"68,323,930"
185,04/08/2020,198.08,201.17,196.17,200.57,"45,940,441"
186,04/07/2020,202.14,202.66,196.0,196.4,"69,904,477"
187,04/06/2020,190.38,197.65,189.19,196.48,"62,795,200"
188,04/03/2020,185.5,187.07,181.29,183.37,"47,487,621"
189,04/02/2020,181.59,190.1,180.97,186.01,"56,465,352"
190,04/01/2020,184.81,187.66,180.86,182.31,"53,715,379"
191,03/31/2020,191.53,195.25,189.2,190.4,"62,659,273"
192,03/30/2020,187.1,192.49,186.34,192.04,"49,356,941"
193,03/27/2020,186.93,190.51,184.66,185.3,"58,844,980"
194,03/26/2020,183.87,192.72,183.61,191.9,"79,887,562"
195,03/25/2020,184.42,189.51,179.98,182.3,"88,754,914"
196,03/24/2020,179.91,183.83,177.95,183.66,"94,881,789"
197,03/23/2020,170.92,174.21,164.93,170.46,"124,639,602"
198,03/20/2020,181.74,182.87,170.1,170.7,"118,983,906"
199,03/19/2020,175.69,183.49,171.63,177.66,"120,896,492"
200,03/18/2020,171.61,179.22,166.8,176.6,"114,156,305"
201,03/17/2020,175.47,184.39,169.78,182.14,"121,257,102"
202,03/16/2020,174.15,184.68,169.16,169.3,"92,054,391"
203,03/13/2020,187.07,194.48,178.13,192.34,"134,882,000"
204,03/12/2020,182.09,190.78,176.94,177.32,"137,820,703"
205,03/11/2020,199.35,200.75,192.73,195.22,"89,168,781"
206,03/10/2020,201.11,204.3,193.68,204.11,"100,599,203"
207,03/09/2020,193.48,201.16,192.11,193.57,"116,424,000"
208,03/06/2020,204.67,209.15,202.91,208.02,"89,828,391"
209,03/05/2020,212.69,216.36,210.1,211.59,"78,705,453"
210,03/04/2020,213.32,218.33,211.37,218.22,"73,086,211"
211,03/03/2020,217.11,219.61,207.62,209.48,"131,953,500"
212,03/02/2020,208.88,216.57,205.94,216.42,"112,933,906"
213,02/28/2020,198.92,207.17,198.17,205.8,"149,247,109"
214,02/27/2020,211.05,216.42,205.5,205.64,"121,822,602"
215,02/26/2020,216.67,220.28,214.9,216.48,"80,400,047"
216,02/25/2020,223.19,223.99,214.74,215.37,"97,742,977"
217,02/24/2020,221.84,224.25,220.26,221.39,"84,522,555"
218,02/21/2020,233.64,234.01,229.32,230.27,"66,058,609"
219,02/20/2020,236.46,236.95,231.88,234.78,"42,604,020"
220,02/19/2020,236.07,237.47,235.85,236.98,"22,230,461"
221,02/18/2020,233.47,235.17,233.25,234.73,"24,521,240"
222,02/14/2020,234.28,234.86,233.55,234.64,"23,438,529"
223,02/13/2020,232.62,234.93,232.36,233.97,"22,773,160"
224,02/12/2020,233.34,234.38,232.8,234.27,"24,471,279"
225,02/11/2020,233.21,234.02,231.4,232.01,"30,197,980"
226,02/10/2020,228.43,231.98,228.38,231.97,"21,478,930"
227,02/07/2020,229.16,230.44,228.54,229.2,"25,884,930"
228,02/06/2020,228.77,230.25,227.98,230.19,"22,467,080"
229,02/05/2020,230.22,230.25,226.85,228.22,"38,534,820"
230,02/04/2020,225.39,227.86,224.65,227.47,"30,691,211"
231,02/03/2020,220.14,222.89,219.99,222.38,"25,468,311"
232,01/31/2020,223.5,223.56,218.29,219.07,"52,015,832"
233,01/30/2020,220.37,222.7,219.69,222.6,"39,568,090"
234,01/29/2020,222.66,222.93,220.83,221.81,"29,063,131"
235,01/28/2020,219.6,221.96,219.06,221.45,"26,731,881"
236,01/27/2020,217.72,219.28,217.18,218.1,"42,264,422"
237,01/24/2020,225.62,225.88,221.67,222.7,"37,436,480"
238,01/23/2020,223.71,224.69,222.7,224.59,"26,496,109"
239,01/22/2020,224.38,225.15,223.59,223.87,"20,736,400"
240,01/21/2020,222.73,223.84,222.66,223.28,"21,146,260"
241,01/17/2020,223.24,223.56,222.12,223.38,"24,325,170"
242,01/16/2020,221.24,222.32,220.8,222.28,"18,804,961"
243,01/15/2020,220.18,221.2,219.45,220.17,"25,742,080"
244,01/14/2020,220.75,221.21,219.74,220.08,"24,573,340"
